"CUSEC","cod_provincia","nom_provincia","cod_comarca","nom_comarca","cod_municipi","nom_municipi"
"0801505001","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801505002","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801505003","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801505004","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801505005","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801505006","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801505007","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801506001","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801506002","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801506003","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801506004","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801506005","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801506006","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801507001","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801507002","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801507003","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801507004","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801507005","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801507006","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801507007","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801507008","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801507009","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801507010","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801507011","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801507013","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801507014","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801507015","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801507017","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801507018","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801507020","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801507021","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801507022","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801507023","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801507024","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801507028","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801507029","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801507030","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801507031","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801508001","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801508002","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801508003","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801508004","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801508005","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801508006","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801508007","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801508008","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801508009","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801508011","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801508012","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801508013","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509001","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509002","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509003","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509004","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509005","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509006","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509008","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509009","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509010","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509011","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509012","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509013","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509014","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509015","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509016","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509017","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509018","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509019","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509020","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509021","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509022","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509023","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509024","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509025","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509026","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509027","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509028","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509030","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509031","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509032","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509033","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509034","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509035","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509036","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509037","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509038","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509042","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509043","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509044","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509045","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509047","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509049","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509052","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509053","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509054","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509057","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509058","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801509059","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801601001","08","Barcelona","14","Berguedà","08016","Bagà"
"0801701001","08","Barcelona","24","Osona","08017","Balenyà"
"0801701002","08","Barcelona","24","Osona","08017","Balenyà"
"0801801001","08","Barcelona","07","Bages","08018","Balsareny"
"0801801002","08","Barcelona","07","Bages","08018","Balsareny"
"0801801003","08","Barcelona","07","Bages","08018","Balsareny"
"0801901001","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901002","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901003","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901004","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901005","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901006","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901007","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901008","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901009","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901010","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901011","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901012","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901013","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901014","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901015","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901016","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901017","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901018","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901019","08","Barcelona","13","Barcelonès","08019","Barcelona"
